Age [ka BP]	Sea level [m NN] (Calculated)	Speleo_age
270	-98.2	275.2385
271	-90	276.1603
272	-80.2	277.0831
273	-76.1	278.0059
274	-74.4	278.9287
275	-67.5	279.8516
276	-61.8	280.7752
277	-56.7	281.6982
278	-53.5	282.621
279	-50.1	283.5434
280	-46	284.4674
281	-39.8	285.3881
282	-37.9	286.3132
283	-36.6	287.2362
284	-35	288.1582
285	-35.1	289.0804
286	-36.5	290.0058
287	-37.8	290.9302
288	-42.7	291.8531
289	-51.8	292.7759
290	-56.7	293.6944
291	-58.5	294.6245
292	-56.5	295.5788
293	-54.8	296.5334
294	-53.2	297.4888
295	-52.4	298.4436
296	-48.9	299.3979
297	-48.3	300.3531
298	-47.5	301.3065
299	-45.3	302.2591
300	-42.8	303.2151
301	-39.5	304.1698
302	-38	305.1229
303	-33	306.0774
304	-35.3	307.0356
305	-39.4	307.9915
306	-35.7	309.0128
307	-30.5	310.035
308	-31.1	311.0573
309	-27.9	312.0795
310	-24.1	313.1018
311	-22.2	314.1234
312	-21.9	315.1443
313	-18.4	316.1676
314	-12.4	317.1888
315	-12.1	318.2101
316	-9.8	319.2312
317	-10.4	320.2506
318	-10.8	321.2739
319	-11.2	322.2952
320	-8.4	323.3164
321	-6.8	324.3397
322	-2.4	325.3606
323	-0.6	326.3781
324	-2.5	327.3999
325	-7.7	328.4244
326	-7.7	329.4484
327	-3	330.468
328	-0.6	331.4925
329	-1.7	332.1255
330	-6.8	332.7578
331	-16.3	333.3909
332	-33.9	334.0241
333	-36.9	334.6572
334	-48	335.2904
335	-58.3	335.9235
336	-74.3	336.5576
337	-85.6	337.1908
338	-91.1	337.8235
339	-93.2	338.4561
340	-96.8	339.0899
341	-103.8	339.7225
342	-108	340.3565
343	-108.5	341.5601
344	-108.7	342.7639
345	-108.9	343.9664
346	-105.7	345.1708
347	-103.2	346.376
348	-102.6	347.5795
349	-101	348.7833
350	-97	349.9886
351	-89.9	351.1923
